epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,333.623,0.80323,2.95601,1.46444,0.60145,0.6639,0.68093,0.58856,0.62995,1.21286,1.4499,0.00333193,0.00333193,0.00333193
2,551.762,0.68574,1.681,1.33613,0.82992,0.81643,0.89902,0.80345,0.50528,0.7313,1.17794,0.00633533,0.00633533,0.00633533
3,765.125,0.68861,1.46094,1.32514,0.78504,0.7568,0.86105,0.75517,0.6084,0.81013,1.35799,0.00900874,0.00900874,0.00900874
4,976.449,0.67145,1.26294,1.30812,0.92393,0.92136,0.96916,0.85885,0.58066,0.47799,1.28249,0.008515,0.008515,0.008515
5,1192.37,0.62405,1.06511,1.26993,0.91444,0.92057,0.97548,0.89996,0.45907,0.403,1.09391,0.00802,0.00802,0.00802
6,1407.61,0.59533,0.97076,1.24691,0.9596,0.96955,0.98691,0.90751,0.44504,0.33102,1.08158,0.007525,0.007525,0.007525
7,1618.42,0.5737,0.89835,1.23139,0.97799,0.97119,0.9896,0.94179,0.37662,0.29072,1.01542,0.00703,0.00703,0.00703
8,1829.18,0.5529,0.84718,1.21669,0.97276,0.97597,0.99075,0.93824,0.39121,0.29878,1.02827,0.006535,0.006535,0.006535
9,2039.96,0.53696,0.80505,1.20368,0.9767,0.98279,0.9918,0.94859,0.35348,0.26891,0.97026,0.00604,0.00604,0.00604
10,2254.28,0.52305,0.77426,1.1948,0.9856,0.98096,0.99216,0.95425,0.34896,0.25723,0.96072,0.005545,0.005545,0.005545
11,2463.05,0.21827,0.29567,1.07722,0.98354,0.97921,0.99132,0.96907,0.3051,0.27046,0.93322,0.00505,0.00505,0.00505
12,2668.84,0.19135,0.24859,1.05382,0.97872,0.98403,0.99152,0.97058,0.28414,0.25452,0.88768,0.004555,0.004555,0.004555
13,2874.58,0.17637,0.22246,1.03704,0.98643,0.98231,0.99206,0.98069,0.25232,0.22931,0.85881,0.00406,0.00406,0.00406
14,3084.06,0.16464,0.20201,1.02745,0.98744,0.98551,0.99244,0.97966,0.26115,0.23148,0.86043,0.003565,0.003565,0.003565
15,3291.79,0.15479,0.17886,1.02093,0.98948,0.98382,0.99266,0.98092,0.25196,0.23333,0.85099,0.00307,0.00307,0.00307
16,3496.67,0.1466,0.16167,1.01074,0.98583,0.98493,0.99221,0.98034,0.23902,0.21835,0.82907,0.002575,0.002575,0.002575
17,3705.64,0.13952,0.14971,1.00644,0.98987,0.98598,0.99279,0.98489,0.21609,0.20474,0.8013,0.00208,0.00208,0.00208
18,3917.44,0.13057,0.12726,0.99737,0.98822,0.99,0.99316,0.98499,0.223,0.21,0.81206,0.001585,0.001585,0.001585
19,4122.47,0.12232,0.11413,0.99107,0.98812,0.98989,0.99338,0.98623,0.21587,0.20476,0.80489,0.00109,0.00109,0.00109
20,4328.22,0.1138,0.10029,0.98366,0.98973,0.98738,0.99331,0.98597,0.21659,0.20424,0.80517,0.000595,0.000595,0.000595
