epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,481.585,0.70527,1.71222,1.36903,0.86412,0.86698,0.93935,0.86737,0.43875,0.52756,1.06294,0.00333193,0.00333193,0.00333193
2,935.112,0.60501,1.00434,1.26043,0.93613,0.9359,0.97737,0.90395,0.45235,0.3997,1.08014,0.00633533,0.00633533,0.00633533
3,1379.49,0.63139,1.01498,1.27119,0.9397,0.93101,0.98055,0.90922,0.4468,0.4054,1.06579,0.00900874,0.00900874,0.00900874
4,1819.66,0.61989,0.97523,1.2589,0.95037,0.95608,0.98471,0.94208,0.37991,0.32982,1.00635,0.008515,0.008515,0.008515
5,2260.22,0.56684,0.8496,1.21828,0.97096,0.97224,0.98915,0.9617,0.29516,0.29993,0.90468,0.00802,0.00802,0.00802
6,2700.74,0.52823,0.76419,1.18949,0.97679,0.97688,0.99158,0.97183,0.2817,0.25813,0.88689,0.007525,0.007525,0.007525
7,3140.84,0.50589,0.71374,1.17519,0.97733,0.98727,0.99129,0.97979,0.26124,0.23748,0.85286,0.00703,0.00703,0.00703
8,3581.66,0.48675,0.6709,1.16219,0.98459,0.98627,0.99335,0.98467,0.23856,0.19522,0.82277,0.006535,0.006535,0.006535
9,4021.15,0.46775,0.63307,1.14786,0.98749,0.99082,0.99362,0.98599,0.21817,0.18722,0.80166,0.00604,0.00604,0.00604
10,4461.97,0.45437,0.60812,1.13933,0.99079,0.98925,0.99393,0.98734,0.23018,0.19589,0.8122,0.005545,0.005545,0.005545
11,4902.18,0.18377,0.21831,1.0363,0.98735,0.99042,0.99409,0.98767,0.21624,0.17602,0.79875,0.00505,0.00505,0.00505
12,5343.37,0.16034,0.18623,1.01817,0.99047,0.99032,0.99396,0.98903,0.19184,0.17143,0.77657,0.004555,0.004555,0.004555
13,5781.24,0.14763,0.16698,1.0075,0.99295,0.99058,0.99421,0.98974,0.18997,0.16242,0.7721,0.00406,0.00406,0.00406
14,6220.26,0.13655,0.14765,0.99776,0.99348,0.99257,0.99456,0.99021,0.19826,0.17202,0.77147,0.003565,0.003565,0.003565
15,6658.13,0.13066,0.13282,0.99399,0.99291,0.99489,0.99454,0.99044,0.18506,0.16593,0.7596,0.00307,0.00307,0.00307
16,7097.08,0.12237,0.11913,0.98636,0.99283,0.99503,0.99451,0.99109,0.17652,0.14764,0.74932,0.002575,0.002575,0.002575
17,7536.14,0.11412,0.10533,0.98108,0.99548,0.99368,0.99465,0.99133,0.17713,0.13983,0.74771,0.00208,0.00208,0.00208
18,7975.91,0.10581,0.09196,0.97382,0.99654,0.99456,0.9947,0.99152,0.16737,0.14103,0.73551,0.001585,0.001585,0.001585
19,8413.63,inf,0.08315,0.96887,0.99551,0.99519,0.99471,0.99181,0.17089,0.14945,0.73701,0.00109,0.00109,0.00109
20,8851.93,inf,0.07287,0.96326,0.99671,0.99458,0.99474,0.99206,0.16979,0.1426,0.73441,0.000595,0.000595,0.000595
